month,C,M,yoy_tw_revenue,decision,ruleA,ruleB
2017-02-01,-0.16737709977609222,,0.14401900927809597,2017-03-16,False,False
2017-03-01,1.3848627404978042,,0.2683193891617892,2017-04-16,False,True
2017-04-01,1.7687740783323371,,0.310697688260132,2017-05-16,False,True
2017-05-01,1.143737270932551,1.3111143707086432,0.2641609448008193,2017-06-16,True,True
2017-06-01,-1.0186994961885658,-2.40356223668637,0.08387412094274138,2017-07-16,False,False
2017-07-01,-1.7700208651815275,-3.5387949435138646,0.010409707571285454,2017-08-16,False,False
2017-08-01,-1.4183881350093206,-2.5621254059418717,0.03383682228171225,2017-09-16,False,False
2017-09-01,-0.6753218327890425,0.34337766339952336,0.09732219871860548,2017-10-16,False,False
2017-10-01,0.3599882314366385,2.130009096618166,0.18748910980474243,2017-11-16,True,True
2017-11-01,0.46264937590746325,1.8810375109167838,0.19698135726200205,2017-12-16,True,True
2017-12-01,0.3368440177210855,1.012165850510128,0.18684286896153846,2018-01-16,True,True
2018-01-01,0.13630943959528125,-0.22367879184135725,0.17033326385911907,2018-02-16,False,True
2018-02-01,0.44873085432489596,-0.01391852158256729,0.19654879490388333,2018-03-16,False,True
2018-03-01,-1.091301555426893,-1.4281455731479786,0.06906392233951864,2018-04-16,False,False
2018-04-01,-2.0769647878627038,-2.213274227457985,-0.024488915523583232,2018-05-16,False,False
2018-05-01,-1.9786336949051564,-2.4273645492300524,-0.028076596150891864,2018-06-16,False,False
2018-06-01,-0.6960620335447627,0.3952395218821303,0.0850805837088735,2018-07-16,False,False
2018-07-01,0.22988015406972534,2.3068449419324293,0.16734037455346007,2018-08-16,True,True
2018-08-01,0.9027448357099382,2.8813785306150947,0.22797818504870326,2018-09-16,True,True
2018-09-01,0.9618717087812101,1.6579337423259728,0.23508587094173872,2018-10-16,True,True
2018-10-01,1.7594013172871954,1.5295211632174701,0.31247224422726383,2018-11-16,True,True
2018-11-01,0.9758949131868341,0.07315007747689584,0.24422298905342932,2018-12-16,True,True
2018-12-01,1.0717312286824605,0.10985951990125042,0.25513655504326116,2019-01-16,True,True
2019-01-01,0.5276175568530428,-1.2317837604341526,0.20694605330106874,2019-02-16,False,True
2019-02-01,-0.30643573313943673,-1.2823306463262707,0.13235862197844206,2019-03-16,False,False
2019-03-01,0.11827268057665487,-0.9534585481058057,0.16992215709854963,2019-04-16,False,True
2019-04-01,1.496570607974667,0.9689530511216242,0.29471012726636925,2019-05-16,True,True
2019-05-01,2.5957817850336484,2.902217518173085,0.41199681017737677,2019-06-16,True,True
2019-06-01,1.9230427610765608,1.8047700804999058,0.3574554515301036,2019-07-16,True,True
2019-07-01,1.2932619802880734,-0.20330862768659363,0.29965185790577675,2019-08-16,False,True
2019-08-01,1.3668603022485593,-1.2289214827850892,0.3105610305811586,2019-09-16,False,True
2019-09-01,2.1581770720317155,0.2351343109551547,0.4005853075032475,2019-10-16,True,True
2019-10-01,1.6663653214076901,0.37310334111961674,0.3564079446304971,2019-11-16,True,True
2019-11-01,0.7164279413259583,-0.6504323609226009,0.2585955657232639,2019-12-16,False,True
2019-12-01,-0.8667326573059342,-3.02490972933765,0.09323632633494805,2020-01-16,False,False
2020-01-01,-1.5983225867682267,-3.264687908175917,0.012365165136077882,2020-02-16,False,False
2020-02-01,-1.3901746853131038,-2.106602626639062,0.030467800505399767,2020-03-16,False,False
2020-03-01,-1.2000164415227905,-0.33328378421685634,0.04794699336312136,2020-04-16,False,False
2020-04-01,-1.211294132414707,0.3870284543535196,0.04410402466608243,2020-05-16,False,False
2020-05-01,-2.0257819638886754,-0.6356072785755715,-0.052116917787821126,2020-06-16,False,False
2020-06-01,-1.9148790960178594,-0.7148626544950689,-0.048143894028426115,2020-07-16,False,False
2020-07-01,-1.8620032995006244,-0.6507091670859173,-0.0498492323954669,2020-08-16,False,False
2020-08-01,-1.7763139432169808,0.2494680206716946,-0.04682352998746009,2020-09-16,False,False
2020-09-01,-2.08154332862225,-0.16666423260439078,-0.09266819664339598,2020-10-16,False,False
2020-10-01,-1.927402180725177,-0.06539888122455273,-0.0827570269173471,2020-11-16,False,False
2020-11-01,-1.1359950013466504,0.6403189418703303,0.01145319406836709,2020-12-16,False,False
2020-12-01,-0.2627255194820679,1.8188178091401823,0.11801948624025638,2021-01-16,False,False
2021-01-01,0.38155227018388377,2.3089544509090607,0.19666346821461067,2021-02-16,True,True
2021-02-01,0.24928336959429728,1.3852783709409477,0.18091490585022285,2021-03-16,True,True
2021-03-01,-0.08891488121435122,0.1738106382677167,0.14027783635226232,2021-04-16,False,False
2021-04-01,-0.33166421980631783,-0.7132164899902016,0.1110672817858942,2021-05-16,False,False
2021-05-01,0.035741716469471184,-0.2135416531248261,0.15459011780808907,2021-06-16,False,True
2021-06-01,-0.5456082911666361,-0.4566934099522849,0.08568324723480614,2021-07-16,False,False
2021-07-01,-0.6689458625066519,-0.33728164270033406,0.07050634227933594,2021-08-16,False,False
2021-08-01,-0.930321104127035,-0.9660628205965062,0.0387084306411154,2021-09-16,False,False
2021-09-01,-0.8829590569398067,-0.3373507657731706,0.043049821793771814,2021-10-16,False,False
2021-10-01,-0.7141720466427838,-0.045226184136131886,0.06189648956958038,2021-11-16,False,False
2021-11-01,-0.8912398493220823,0.039081254804952614,0.040194845512196764,2021-12-16,False,False
2021-12-01,-0.615564443815898,0.26739461312390866,0.0715281932487104,2022-01-16,False,False
2022-01-01,-0.48737115817421356,0.22680088846857022,0.08590175622835083,2022-02-16,False,False
2022-02-01,-0.5038163229822055,0.38742352633987687,0.08357903816606416,2022-03-16,False,False
2022-03-01,0.2200234350902658,0.8355878789061638,0.16650703871921624,2022-04-16,True,True
2022-04-01,0.2668444293020236,0.7542155874762372,0.17201952093923856,2022-05-16,True,True
2022-05-01,0.7582384880759123,1.2620548110581178,0.22837083919905155,2022-06-16,True,True
2022-06-01,1.3668839803785986,1.1468605452883327,0.299613384233232,2022-07-16,True,True
2022-07-01,2.0475291644522278,1.7806847351502042,0.38392928127594983,2022-08-16,True,True
2022-08-01,1.5829228865637486,0.8246843984878363,0.3339265875030877,2022-09-16,True,True
2022-09-01,1.2318221867509032,-0.13506179362769544,0.29502733369716605,2022-10-16,False,True
2022-10-01,0.7556971566475683,-1.2918320078046595,0.24011346189224336,2022-11-16,False,True
2022-11-01,1.095771315873779,-0.4871515706899696,0.28132870778900654,2022-12-16,False,True
2022-12-01,0.8199597612767173,-0.41186242547418583,0.24997580590344137,2023-01-16,False,True
2023-01-01,0.43765767930364435,-0.31803947734392396,0.20572152202405491,2023-02-16,False,True
2023-02-01,0.9317709691652368,-0.16400034670854213,0.26415253193978305,2023-03-16,False,True
2023-03-01,0.14906598587014497,-0.6708937754065724,0.1734353242475153,2023-04-16,False,True
2023-04-01,-0.0646176987880876,-0.502275378091732,0.1487325584863961,2023-05-16,False,False
2023-05-01,-1.082542471950475,-2.014313441115712,0.03045458583098748,2023-06-16,False,False
2023-06-01,-1.1365017340802968,-1.2855677199504418,0.02272735868063247,2023-07-16,False,False
2023-07-01,-1.0838974311774894,-1.0192797323894018,0.027416458902130625,2023-08-16,False,False
2023-08-01,-0.7269204890462995,0.35562198290417557,0.06791767765949341,2023-09-16,False,False
2023-09-01,-0.7531841686961476,0.3833175653841492,0.06423379879444413,2023-10-16,False,False
2023-10-01,-0.7178080418611756,0.36608938931631374,0.06768747072092696,2023-11-16,False,False
2023-11-01,-1.0279472804094587,-0.30102679136315924,0.03102231503084263,2023-12-16,False,False
2023-12-01,-1.3324517758531802,-0.5792676071570326,-0.005882320496501614,2024-01-16,False,False
2024-01-01,-1.5684681028340475,-0.8506600609728718,-0.036006171372087614,2024-02-16,False,False
2024-02-01,-1.8281023058558086,-0.8001550254463499,-0.0704670322462152,2024-03-16,False,False
2024-03-01,-1.403401656536172,-0.0709498806829918,-0.023041784214185235,2024-04-16,False,False
2024-04-01,-0.9905786857804652,0.5778894170535823,0.024445993362630425,2024-05-16,False,False
2024-05-01,0.15264534321178597,1.9807476490675946,0.15897479189431163,2024-06-16,True,True
2024-06-01,0.5341446419444297,1.9375462984806018,0.2040006393265541,2024-07-16,True,True
2024-07-01,0.5866232553515472,1.5772019411320124,0.2105340484438225,2024-08-16,True,True
2024-08-01,0.3906542439881293,0.23800890077634335,0.18796101580754265,2024-09-16,True,True
2024-09-01,0.7848561927550369,0.25071155081060725,0.23430305191601142,2024-10-16,True,True
2024-10-01,1.596334417531526,1.0097111621799786,0.3311187717284947,2024-11-16,True,True
2024-11-01,2.803786055013754,2.413131811025625,0.4850469616771278,2024-12-16,True,True
2024-12-01,4.062955734837488,3.2780995420824515,0.6776068744475143,2025-01-16,True,True
2025-01-01,4.818959053643698,3.222624636112172,0.8510839543568947,2025-02-16,True,True
2025-02-01,5.2368506424077585,2.4330645873940044,1.0211616525000924,2025-03-16,True,True
2025-03-01,5.288617741367726,1.2256620065302375,1.1575494189496958,2025-04-16,True,True
2025-04-01,5.270354177976117,0.4513951243324188,1.2966541186524947,2025-05-16,True,True
2025-05-01,4.391256271789194,-0.8455943706185645,1.199128859133599,2025-06-16,False,True
2025-06-01,4.701453111255631,-0.5871646301120945,1.388542888333013,2025-07-16,False,True
2025-07-01,4.437068906075773,-0.8332852719003441,1.428774573915614,2025-08-16,False,True
2025-08-01,4.672692269687365,0.2814359978981713,1.6294853056553653,2025-09-16,True,True
2025-09-01,3.958495931972329,-0.7429571792833021,1.501943940006869,2025-10-16,False,True
2025-10-01,3.322589353798595,-1.1144795522771775,1.3522932717956082,2025-11-16,False,True
2025-11-01,2.3804498604733566,-2.292242409214009,1.0586501780067747,2025-12-16,False,True
2025-12-01,1.6764339786771392,-2.28206195329519,0.8272377701893325,2026-01-16,False,True
2026-01-01,1.3276910571630778,-1.9948982966355173,0.7123814298894231,2026-02-16,False,True
2026-02-01,1.3390112271075885,-1.0414386333657681,0.7212492512086335,2026-03-16,False,True
2026-03-01,1.052287884479499,-0.6241460941976402,0.6251043891246901,2026-04-16,False,True
2026-04-01,0.8849552427812108,-0.44273581438186693,0.5693204360615762,2026-05-16,False,True
2026-05-01,0.7081228547386665,-0.6308883723689219,0.5096158804527755,2026-06-16,False,True
2026-06-01,0.870565140671805,-0.18172274380769393,0.5675710806390726,2026-07-16,False,True
2026-07-01,1.0419020414195193,0.1569467986383084,0.6293478411482536,2026-08-16,True,True
2026-08-01,1.0517096896653921,0.3435868349267256,0.6355252893190382,2026-09-16,True,True
