,C,M,yoy_tw_revenue,yoy_PCU335311335311,yoy_PCU335313335313,yoy_PCU333611333611,decision,ruleA,ruleB
2014-12-01,-0.26488766281693077,,,-0.0016687526074258274,-0.017725258493353047,0.027994492886645128,2015-01-16,False,False
2015-01-01,-1.2751374792267511,,,-0.012078300708038392,-0.019656019656019708,0.014285714285714235,2015-02-16,False,False
2015-02-01,-1.3906509771348883,,,-0.022878535773710462,-0.01865488463426601,0.017027151403589347,2015-03-16,False,False
2015-03-01,-1.1358489621521672,-0.8709612993352365,0.08000838109471631,-0.03021523178807939,-0.0009995002498750516,0.015447523852794243,2015-04-16,False,False
2015-04-01,-1.7724240204984725,-0.49728654127172134,0.00031842519748992437,-0.04147656574035674,-0.003986048829098032,0.005459508644221955,2015-05-16,False,False
2015-05-01,-1.3078939593305752,0.0827570178043131,0.010465188064706865,-0.040562913907284726,-0.0004999999999999449,0.010027347310847645,2015-06-16,False,False
2015-06-01,-1.5669153174149508,-0.4310663552627836,-0.021253922906280143,-0.04223602484472044,0.0050226017076846485,-0.0040946314831665775,2015-07-16,False,False
2015-07-01,-1.2179414081940774,0.5544826123043951,-0.0373314377700692,-0.04861969509682729,-0.009504752376188086,0.015952597994530526,2015-08-16,False,False
2015-08-01,-1.7000567539794111,-0.39216279464883597,0.003148946765599403,-0.05308641975308648,-0.005015045135406182,-0.0018115942028985588,2015-09-16,False,False
2015-09-01,-1.6430370142232558,-0.07612169680830494,0.00182608850309407,-0.05780346820809246,-0.0010030090270812808,-0.006292134831460738,2015-10-16,False,False
2015-10-01,-1.782257796813634,-0.5643163886195566,0.010128455783551704,-0.06628003314001651,-0.004010025062656686,-0.009856630824372714,2015-11-16,False,False
2015-11-01,-1.6617670443681736,0.038289709611237566,-0.09169325090399927,-0.06708333333333327,-0.003007518796992459,-0.012085944494180878,2015-12-16,False,False
2015-12-01,-1.4522017833578282,0.19083523086542753,-0.04609281366481044,-0.06769745089845391,0.0,-0.01205357142857133,2016-01-16,False,False
2016-01-01,-0.8592740327551329,0.922983764058501,0.021135872255770183,-0.059443507588532896,0.002005012531328454,0.002271694684234493,2016-02-16,False,False
2016-02-01,-0.8463174231547401,0.8154496212134335,0.11687760150154913,-0.03618561089825456,-0.006003001500750504,-0.0009049773755656076,2016-03-16,False,False
2016-03-01,-0.9284853818464276,0.5237164015114006,0.21322143343930633,-0.028169014084507116,-0.005002501250625291,-0.01118568232662187,2016-04-16,False,False
2016-04-01,-0.563339945081557,0.2959340876735759,0.18477564318787598,-0.010817827780181699,-0.007003501750875496,-0.004524886877828038,2016-05-16,False,False
2016-05-01,-0.5276289341362794,0.3186884890184607,0.19673916756668697,-0.014236410698878377,-0.0035017508754378035,-0.006317689530685899,2016-06-16,False,False
2016-06-01,-0.08576465670520712,0.8427207251412204,0.09887011738580731,-0.012105490704712563,-0.004997501249375258,0.012334399269072538,2016-07-16,False,False
2016-07-01,-0.04477179914884418,0.5185681459327128,0.11220290083931572,-0.010827197921178033,0.009090909090909038,-0.004934948407357531,2016-08-16,False,False
2016-08-01,0.270636730366259,0.7982656645025384,0.14172839731706843,-0.008691873098652714,0.013104838709677491,0.001814882032667997,2016-09-16,True,True
