month,C,M,yoy_tw_revenue,decision,ruleA,ruleB,ruleM
2008-02-01,-0.011252340308660678,,0.056030572383149124,2008-03-16,False,False,True
2008-03-01,-0.48137672468657905,,0.026814216563018745,2008-04-16,False,False,True
2008-04-01,-0.3226980206105632,,0.035867564133619245,2008-05-16,False,False,True
2008-05-01,-0.27192284404223327,-0.2606705037335726,0.0385250750388888,2008-06-16,False,False,True
2008-06-01,-0.0780851420252505,0.40329158266132853,0.04959014160023201,2008-07-16,False,False,True
2008-07-01,0.061665515639968145,0.3843635362505313,0.057535517021917615,2008-08-16,True,True,True
2008-08-01,-0.3998183823980755,-0.12789553835584222,0.031532679276138564,2008-09-16,False,False,True
2008-09-01,0.08033109043071616,0.15841623245596667,0.05782263851456304,2008-10-16,True,True,True
2008-10-01,0.5641693618911199,0.5025038462511517,0.08443533437425765,2008-11-16,True,True,True
2008-11-01,0.3658375688761608,0.7656559512742362,0.07423737583243017,2008-12-16,True,True,True
2008-12-01,0.46188939492589454,0.38155830449517836,0.07970336340346007,2009-01-16,True,True,True
2009-01-01,-1.8748114485940082,-2.438980810485128,-0.04829809857162293,2009-02-16,False,False,True
2009-02-01,-1.8833082660207412,-2.2491458348969022,-0.055981964654947314,2009-03-16,False,False,True
2009-03-01,-3.064307489033822,-3.5261968839597166,-0.15408100323496854,2009-04-16,False,False,True
2009-04-01,-2.8106701308948217,-0.9358586823008135,-0.164322663335826,2009-05-16,False,False,True
2009-05-01,2.768576088608111,4.651884354628852,0.26634753728468263,2009-06-16,True,True,True
2009-06-01,2.516300549143138,5.58060803817696,0.2680963947061452,2009-07-16,True,True,True
2009-07-01,2.531053740037448,5.34172387093227,0.2928323654543863,2009-08-16,True,True,True
2009-08-01,-2.0781045696877305,-4.846680658295842,-0.15204296532132855,2009-09-16,False,False,True
2009-09-01,-1.8063644649951587,-4.3226650141382965,-0.1350689501139657,2009-10-16,False,False,True
2009-10-01,-2.37090627749243,-4.901960017529879,-0.21259507865925376,2009-11-16,False,False,True
2009-11-01,-2.20119282562595,-0.12308825593821959,-0.21169590157638063,2009-12-16,False,False,True
2009-12-01,-1.9643485314496252,-0.1579840664544665,-0.19795527030496796,2010-01-16,False,False,True
2010-01-01,-0.6386062407122207,1.7323000367802095,-0.045052294257469705,2010-02-16,False,False,True
2010-02-01,-0.8385832806386844,1.3626095449872657,-0.0698953831208704,2010-03-16,False,False,True
2010-03-01,-0.8568301811630259,1.1075183502865993,-0.07378245247287052,2010-04-16,False,False,True
2010-04-01,-0.09154713416260427,0.5470591065496164,0.01395145371176465,2010-05-16,False,False,True
2010-05-01,-2.8875818763523244,-2.0489985957136403,-0.33927898345316043,2010-06-16,False,False,True
2010-06-01,-2.4179201761101026,-1.5610899949470767,-0.3034728615715796,2010-07-16,False,False,True
2010-07-01,-2.749318004360953,-2.6577708701983487,-0.3800722501699455,2010-08-16,False,False,True
2010-08-01,-0.27258860671198565,2.6149932696403386,-0.03475020628051839,2010-09-16,False,False,True
2010-09-01,-0.653608694155842,1.7643114819542607,-0.08865392536313654,2010-10-16,False,False,True
