date,category,item,avg_usd,source_snapshot
2012-09-04,nand_chip,16Gb 2Gx8 MLC,1.76,https://web.archive.org/web/20120904163050id_/https://www.dramexchange.com/
2012-09-04,nand_chip,32Gb 4Gx8 MLC,2.31,https://web.archive.org/web/20120904163050id_/https://www.dramexchange.com/
2012-09-04,nand_chip,64Gb 8Gx8 MLC,3.63,https://web.archive.org/web/20120904163050id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.818,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.84,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR3 2Gb 256Mx8 1600MHz,2.576,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR3 2Gb 256Mx8 eTT,1.973,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR3 4Gb 512Mx8 1600MHz,4.169,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,dram_chip,DDR3 4Gb 512Mx8 eTT,4.053,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,nand_chip,16Gb 2Gx8 MLC,3.403,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,nand_chip,32Gb 4Gx8 MLC,3.101,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-02-07,nand_chip,64Gb 8Gx8 MLC,4.453,https://web.archive.org/web/20140208014702id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.703,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.04,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR3 2Gb 256Mx8 1600MHz,1.964,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR3 2Gb 256Mx8 eTT,1.788,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR3 4Gb 512Mx8 1600MHz,3.698,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,dram_chip,DDR3 4Gb 512Mx8 eTT,3.483,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,nand_chip,16Gb 2Gx8 MLC,3.023,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,nand_chip,32Gb 4Gx8 MLC,2.873,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-03,nand_chip,64Gb 8Gx8 MLC,3.857,https://web.archive.org/web/20140403223257id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.703,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.04,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR3 2Gb 256Mx8 1600MHz,1.963,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR3 2Gb 256Mx8 eTT,1.793,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR3 4Gb 512Mx8 1600MHz,3.697,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,dram_chip,DDR3 4Gb 512Mx8 eTT,3.483,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,nand_chip,16Gb 2Gx8 MLC,3.023,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,nand_chip,32Gb 4Gx8 MLC,2.879,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-04-04,nand_chip,64Gb 8Gx8 MLC,3.854,https://web.archive.org/web/20140406141958id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.8,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.23,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR3 2Gb 256Mx8 1600MHz,2.179,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR3 2Gb 256Mx8 eTT,2.01,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR3 4Gb 512Mx8 1600MHz,4.151,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,dram_chip,DDR3 4Gb 512Mx8 eTT,3.935,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,nand_chip,16Gb 2Gx8 MLC,2.906,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,nand_chip,32Gb 4Gx8 MLC,2.942,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-05-16,nand_chip,64Gb 8Gx8 MLC,3.983,https://web.archive.org/web/20140517100933id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.8,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.192,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR3 2Gb 256Mx8 1600MHz,2.131,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR3 2Gb 256Mx8 eTT,2.02,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR3 4Gb 512Mx8 1600MHz,4.223,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,dram_chip,DDR3 4Gb 512Mx8 eTT,4.075,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,nand_chip,16Gb 2Gx8 MLC,2.842,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,nand_chip,32Gb 4Gx8 MLC,2.77,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-06-25,nand_chip,64Gb 8Gx8 MLC,3.936,https://web.archive.org/web/20140625035430id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.812,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.29,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR3 2Gb 256Mx8 1600MHz,2.19,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR3 2Gb 256Mx8 eTT,2.066,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR3 4Gb 512Mx8 1600MHz,4.425,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,dram_chip,DDR3 4Gb 512Mx8 eTT,4.138,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,nand_chip,16Gb 2Gx8 MLC,2.388,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,nand_chip,32Gb 4Gx8 MLC,2.635,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-07-18,nand_chip,64Gb 8Gx8 MLC,3.034,https://web.archive.org/web/20140719064120id_/https://www.dramexchange.com/
2014-08-29,dram_chip,DDR2 1Gb 128Mx8 800MHz,1.567,https://web.archive.org/web/20140829192544id_/https://www.dramexchange.com/
2014-08-29,dram_chip,DDR3 2Gb 256Mx8 1333MHz,2.28,https://web.archive.org/web/20140829192544id_/https://www.dramexchange.com/
2014-08-29,dram_chip,DDR3 2Gb 256Mx8 1600MHz,2.003,https://web.archive.org/web/20140829192544id_/https://www.dramexchange.com/
2014-08-29,dram_chip,DDR3 2Gb 256Mx8 eTT,1.986,https://web.archive.org/web/20140829192544id_/https://www.dramexchange.com/
