date,category,item,avg_usd,change_pct
2026-09-23,dram_chip,DDR3 4Gb 512Mx8 1600/1866,13.768,-0.09
2026-09-23,dram_chip,DDR4 16Gb (2Gx8) 3200,84.375,-0.15
2026-09-23,dram_chip,DDR4 16Gb (2Gx8) eTT,13.575,0.83
2026-09-23,dram_chip,DDR4 8Gb (1Gx8) 3200,45.893,-0.31
2026-09-23,dram_chip,DDR4 8Gb (1Gx8) eTT,5.83,-0.17
2026-09-23,dram_chip,DDR5 16Gb (2Gx8) 4800/5600,57.5,0.58
2026-09-23,dram_chip,DDR5 16Gb (2Gx8) eTT,25.3,1.2
2026-09-23,dram_module,DDR4 UDIMM 16GB 3200,164.3,0.37
2026-09-23,dram_module,DDR5 RDIMM 32GB 4800/5600,2050.0,7.9
2026-09-23,dram_module,DDR5 UDIMM 16GB 4800/5600,235.667,0.71
2026-09-23,gddr,GDDR5 8Gb,11.818,0.0
2026-09-23,gddr,GDDR6 8Gb,11.844,0.0
2026-09-23,nand_chip,MLC 32Gb 4GBx8,19.033,0.5
2026-09-23,nand_chip,MLC 64Gb 8GBx8,39.913,1.69
2026-09-23,nand_chip,SLC 1Gb 128MBx8,3.358,-1.24
2026-09-23,nand_chip,SLC 2Gb 256MBx8,4.323,0.23
2026-09-23,nand_wafer,128Gb TLC,9.967,0.0
2026-09-23,nand_wafer,256Gb TLC,16.808,0.0
2026-09-23,nand_wafer,512Gb TLC,20.083,-0.31
