month,hs,usd
2013-01-01,850423,66949000
2013-01-01,850760,176951000
2013-01-01,8542,3318003000
2013-01-01,854232,1157681000
2013-02-01,850423,52155000
2013-02-01,850760,151734000
2013-02-01,8542,3215525000
2013-02-01,854232,1269435000
2013-03-01,850423,87374000
2013-03-01,850760,170268000
2013-03-01,8542,3761991000
2013-03-01,854232,1672858000
2013-04-01,850423,64490000
2013-04-01,850760,185235000
2013-04-01,8542,3431680000
2013-04-01,854232,1748201000
2013-05-01,850423,73338000
2013-05-01,850760,192717000
2013-05-01,8542,3958353000
2013-05-01,854232,1850173000
2013-06-01,850423,101839000
2013-06-01,850760,181161000
2013-06-01,8542,3748868000
2013-06-01,854232,2062011000
2013-07-01,850423,72821000
2013-07-01,850760,205571000
2013-07-01,8542,3911117000
2013-07-01,854232,1979566000
2013-08-01,850423,58255000
2013-08-01,850760,176761000
2013-08-01,8542,4107571000
2013-08-01,854232,1947981000
2013-09-01,850423,21650000
2013-09-01,850760,203807000
2013-09-01,8542,4607173000
2013-09-01,854232,2033864000
2013-10-01,850423,62787000
2013-10-01,850760,223442000
2013-10-01,8542,4546739000
2013-10-01,854232,2052050000
2013-11-01,850423,70221000
2013-11-01,850760,203277000
2013-11-01,8542,4205763000
2013-11-01,854232,2016066000
2013-12-01,850423,70997000
2013-12-01,850760,194368000
2013-12-01,8542,4305262000
2013-12-01,854232,2173700000
2014-01-01,850423,36960000
2014-01-01,850760,169350000
2014-01-01,8542,3819829000
2014-01-01,854232,2059902000
2014-02-01,850423,54761000
2014-02-01,850760,183462000
2014-02-01,8542,3626641000
2014-02-01,854232,1944434000
2014-03-01,850423,38031000
2014-03-01,850760,208952000
2014-03-01,8542,4277112000
2014-03-01,854232,2316343000
2014-04-01,850423,76376000
2014-04-01,850760,222229000
2014-04-01,8542,3990770000
2014-04-01,854232,2254907000
2014-05-01,850423,107727000
2014-05-01,850760,209711000
2014-05-01,8542,4050899000
2014-05-01,854232,2380415000
2014-06-01,850423,42722000
2014-06-01,850760,191007000
2014-06-01,8542,4294994000
2014-06-01,854232,2537504000
2014-07-01,850423,64828000
2014-07-01,850760,197550000
2014-07-01,8542,3980781000
2014-07-01,854232,2492725000
2014-08-01,850423,45206000
2014-08-01,850760,172434000
2014-08-01,8542,4326908000
2014-08-01,854232,2647740000
2014-09-01,850423,72004000
2014-09-01,850760,192712000
2014-09-01,8542,4819681000
2014-09-01,854232,2615113000
2014-10-01,850423,47099000
2014-10-01,850760,190306000
2014-10-01,8542,4926236000
2014-10-01,854232,2543589000
2014-11-01,850423,89377000
2014-11-01,850760,165068000
2014-11-01,8542,4743458000
2014-11-01,854232,2586257000
2014-12-01,850423,132802000
2014-12-01,850760,165277000
2014-12-01,8542,4686515000
2014-12-01,854232,2470533000
2015-01-01,850423,28213000
2015-01-01,850760,162136000
2015-01-01,8542,4246419000
2015-01-01,854232,2318607000
2015-02-01,850423,39659000
2015-02-01,850760,142584000
2015-02-01,8542,3817635000
2015-02-01,854232,2167059000
2015-03-01,850423,92677000
2015-03-01,850760,150774000
2015-03-01,8542,4383367000
2015-03-01,854232,2277820000
2015-04-01,850423,103492000
2015-04-01,850760,156641000
2015-04-01,8542,4272165000
2015-04-01,854232,2271382000
2015-05-01,850423,42368000
2015-05-01,850760,158586000
2015-05-01,8542,4266424000
2015-05-01,854232,2205637000
2015-06-01,850423,76701000
2015-06-01,850760,170973000
2015-06-01,8542,4302402000
2015-06-01,854232,2356138000
2015-07-01,850423,86051000
2015-07-01,850760,169947000
2015-07-01,8542,4239047000
2015-07-01,854232,2460127000
2015-08-01,850423,52533000
2015-08-01,850760,178138000
