ticker,concept,start,end,val,filed,form,fp
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2007-07-01,2008-06-30,3182000000,2010-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-07-01,2008-09-30,778000000,2009-10-23,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-07-01,2008-12-31,1620000000,2010-01-28,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-10-01,2008-12-31,842000000,2010-01-28,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-07-01,2009-03-31,2252000000,2010-04-22,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-01-01,2009-03-31,632000000,2010-04-22,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-07-01,2009-06-30,3119000000,2010-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2008-07-01,2009-06-30,3119000000,2011-07-28,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2009-09-30,435000000,2009-10-23,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2009-09-30,435000000,2010-10-28,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2009-12-31,811000000,2010-01-28,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2009-12-31,811000000,2011-01-27,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-10-01,2009-12-31,376000000,2010-01-28,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-10-01,2009-12-31,376000000,2011-01-27,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2010-03-31,1219000000,2010-04-22,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2010-03-31,1219000000,2011-04-28,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-01-01,2010-03-31,408000000,2010-04-22,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-01-01,2010-03-31,408000000,2011-04-28,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2010-06-30,1977000000,2010-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2010-06-30,1977000000,2011-07-28,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2009-07-01,2010-06-30,1977000000,2012-07-26,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2010-09-30,564000000,2010-10-28,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2010-09-30,564000000,2011-10-20,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2010-12-31,1055000000,2011-01-27,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2010-12-31,1055000000,2012-01-27,10-Q/A,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-10-01,2010-12-31,491000000,2011-01-27,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-10-01,2010-12-31,491000000,2012-01-27,10-Q/A,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-03-31,1713000000,2011-04-28,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-03-31,1713000000,2012-04-19,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-01-01,2011-03-31,658000000,2011-04-28,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-01-01,2011-03-31,658000000,2012-04-19,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-06-30,2355000000,2011-07-28,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-06-30,2355000000,2012-07-26,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-06-30,2355000000,2013-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2010-07-01,2011-06-30,2355000000,2013-11-26,8-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2011-09-30,436000000,2011-10-20,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2011-09-30,436000000,2012-10-18,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2011-12-31,934000000,2012-01-27,10-Q/A,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2011-12-31,934000000,2013-01-24,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-10-01,2011-12-31,498000000,2012-01-27,10-Q/A,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-10-01,2011-12-31,498000000,2013-01-24,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-03-31,1683000000,2012-04-19,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-03-31,1683000000,2013-04-18,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-01-01,2012-03-31,749000000,2012-04-19,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-01-01,2012-03-31,749000000,2013-04-18,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-06-30,2305000000,2012-07-26,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-06-30,2305000000,2013-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-06-30,2305000000,2013-11-26,8-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2011-07-01,2012-06-30,2305000000,2014-07-31,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2012-09-30,603000000,2012-10-18,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2012-09-30,603000000,2013-10-24,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2012-12-31,1533000000,2013-01-24,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2012-12-31,1533000000,2014-01-23,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-10-01,2012-12-31,930000000,2013-01-24,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-10-01,2012-12-31,930000000,2014-01-23,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-03-31,2463000000,2013-04-18,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-03-31,2463000000,2014-04-24,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-01-01,2013-03-31,930000000,2013-04-18,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-01-01,2013-03-31,930000000,2014-04-24,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-06-30,4257000000,2013-07-30,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-06-30,4257000000,2013-11-26,8-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-06-30,4257000000,2014-07-31,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-06-30,4257000000,2015-07-31,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2012-07-01,2013-06-30,4257000000,2015-10-27,8-K,
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2013-09-30,1231000000,2013-10-24,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2013-09-30,1231000000,2014-10-23,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2013-12-31,2963000000,2014-01-23,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2013-12-31,2963000000,2015-01-26,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-10-01,2013-12-31,1732000000,2014-01-23,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-10-01,2013-12-31,1732000000,2015-01-26,10-Q,Q2
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-03-31,4155000000,2014-04-24,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-03-31,4155000000,2015-04-23,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2014-01-01,2014-03-31,1192000000,2014-04-24,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2014-01-01,2014-03-31,1192000000,2015-04-23,10-Q,Q3
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-06-30,5485000000,2014-07-31,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-06-30,5485000000,2015-07-31,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-06-30,5485000000,2015-10-27,8-K,
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2013-07-01,2014-06-30,5485000000,2016-07-28,10-K,FY
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2014-07-01,2014-09-30,1282000000,2014-10-23,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2014-07-01,2014-09-30,1282000000,2015-10-22,10-Q,Q1
MSFT,PaymentsToAcquirePropertyPlantAndEquipment,2014-07-01,2014-12-31,2772000000,2015-01-26,10-Q,Q2
