code,industry,market
1101,Cement,sii
1102,Cement,sii
1103,Cement,sii
1104,Cement,sii
1108,Cement,sii
1109,Cement,sii
1110,Cement,sii
1201,Food,sii
1203,Food,sii
1210,Food,sii
1213,Food,sii
1215,Food,sii
1216,Food,sii
1217,Food,sii
1218,Food,sii
1219,Food,sii
1220,Food,sii
1225,Food,sii
1227,Food,sii
1229,Food,sii
1231,Food,sii
1232,Food,sii
1233,Food,sii
1234,Food,sii
1235,Food,sii
1236,Food,sii
1702,Food,sii
1737,Food,sii
1301,Plastics,sii
1303,Plastics,sii
1304,Plastics,sii
1305,Plastics,sii
1307,Plastics,sii
1308,Plastics,sii
1309,Plastics,sii
1310,Plastics,sii
1312,Plastics,sii
1313,Plastics,sii
1314,Plastics,sii
1315,Plastics,sii
1321,Plastics,sii
1323,Plastics,sii
1324,Plastics,sii
1325,Plastics,sii
1326,Plastics,sii
4306,Plastics,sii
1402,Textiles,sii
1409,Textiles,sii
1410,Textiles,sii
1413,Textiles,sii
1414,Textiles,sii
1417,Textiles,sii
1418,Textiles,sii
1419,Textiles,sii
1423,Textiles,sii
1434,Textiles,sii
1440,Textiles,sii
1441,Textiles,sii
1444,Textiles,sii
1445,Textiles,sii
1446,Textiles,sii
1447,Textiles,sii
1449,Textiles,sii
1451,Textiles,sii
1452,Textiles,sii
1454,Textiles,sii
1455,Textiles,sii
1457,Textiles,sii
1459,Textiles,sii
1460,Textiles,sii
1463,Textiles,sii
1464,Textiles,sii
1465,Textiles,sii
1466,Textiles,sii
1467,Textiles,sii
1468,Textiles,sii
1470,Textiles,sii
1473,Textiles,sii
1474,Textiles,sii
1475,Textiles,sii
1476,Textiles,sii
1477,Textiles,sii
4414,Textiles,sii
4426,Textiles,sii
4438,Textiles,sii
4440,Textiles,sii
4441,Textiles,sii
1503,Electrical machinery,sii
1504,Electrical machinery,sii
1506,Electrical machinery,sii
1513,Electrical machinery,sii
1514,Electrical machinery,sii
1515,Electrical machinery,sii
1517,Electrical machinery,sii
1519,Electrical machinery,sii
1526,Electrical machinery,sii
1527,Electrical machinery,sii
1528,Electrical machinery,sii
1529,Electrical machinery,sii
1530,Electrical machinery,sii
1531,Electrical machinery,sii
1532,Electrical machinery,sii
1535,Electrical machinery,sii
1537,Electrical machinery,sii
1538,Electrical machinery,sii
1539,Electrical machinery,sii
1540,Electrical machinery,sii
1541,Electrical machinery,sii
1558,Electrical machinery,sii
1560,Electrical machinery,sii
1583,Electrical machinery,sii
1597,Electrical machinery,sii
2049,Electrical machinery,sii
2371,Electrical machinery,sii
3167,Electrical machinery,sii
4526,Electrical machinery,sii
4532,Electrical machinery,sii
4540,Electrical machinery,sii
4555,Electrical machinery,sii
4562,Electrical machinery,sii
4564,Electrical machinery,sii
4566,Electrical machinery,sii
4572,Electrical machinery,sii
4576,Electrical machinery,sii
4583,Electrical machinery,sii
4590,Electrical machinery,sii
6606,Electrical machinery,sii
7750,Electrical machinery,sii
8222,Electrical machinery,sii
8374,Electrical machinery,sii
8996,Electrical machinery,sii
1603,Electric wire & cable,sii
1604,Electric wire & cable,sii
1605,Electric wire & cable,sii
1608,Electric wire & cable,sii
1609,Electric wire & cable,sii
1611,Electric wire & cable,sii
1612,Electric wire & cable,sii
1614,Electric wire & cable,sii
1615,Electric wire & cable,sii
1616,Electric wire & cable,sii
1617,Electric wire & cable,sii
1618,Electric wire & cable,sii
1623,Electric wire & cable,sii
4930,Electric wire & cable,sii
5283,Electric wire & cable,sii
1708,Chemicals,sii
1709,Chemicals,sii
1710,Chemicals,sii
1711,Chemicals,sii
1712,Chemicals,sii
1713,Chemicals,sii
1714,Chemicals,sii
1717,Chemicals,sii
1718,Chemicals,sii
1721,Chemicals,sii
1722,Chemicals,sii
1723,Chemicals,sii
1725,Chemicals,sii
1726,Chemicals,sii
1727,Chemicals,sii
1730,Chemicals,sii
1732,Chemicals,sii
1735,Chemicals,sii
1773,Chemicals,sii
1776,Chemicals,sii
4720,Chemicals,sii
4722,Chemicals,sii
4739,Chemicals,sii
4755,Chemicals,sii
4764,Chemicals,sii
4766,Chemicals,sii
4770,Chemicals,sii
1707,Biotech & medical,sii
1720,Biotech & medical,sii
1731,Biotech & medical,sii
1733,Biotech & medical,sii
1734,Biotech & medical,sii
1752,Biotech & medical,sii
1760,Biotech & medical,sii
1762,Biotech & medical,sii
1783,Biotech & medical,sii
1786,Biotech & medical,sii
1789,Biotech & medical,sii
1795,Biotech & medical,sii
3164,Biotech & medical,sii
3705,Biotech & medical,sii
3716,Biotech & medical,sii
4104,Biotech & medical,sii
4106,Biotech & medical,sii
4108,Biotech & medical,sii
4119,Biotech & medical,sii
4133,Biotech & medical,sii
4142,Biotech & medical,sii
4155,Biotech & medical,sii
4164,Biotech & medical,sii
4169,Biotech & medical,sii
4736,Biotech & medical,sii
4737,Biotech & medical,sii
4746,Biotech & medical,sii
4771,Biotech & medical,sii
6446,Biotech & medical,sii
6472,Biotech & medical,sii
6491,Biotech & medical,sii
6534,Biotech & medical,sii
6589,Biotech & medical,sii
6645,Biotech & medical,sii
6657,Biotech & medical,sii
6782,Biotech & medical,sii
6794,Biotech & medical,sii
6796,Biotech & medical,sii
6838,Biotech & medical,sii
6861,Biotech & medical,sii
6885,Biotech & medical,sii
6918,Biotech & medical,sii
6919,Biotech & medical,sii
6931,Biotech & medical,sii
6934,Biotech & medical,sii
6936,Biotech & medical,sii
6949,Biotech & medical,sii
6955,Biotech & medical,sii
1802,Glass & ceramics,sii
1806,Glass & ceramics,sii
1809,Glass & ceramics,sii
1810,Glass & ceramics,sii
1817,Glass & ceramics,sii
1903,Paper,sii
1904,Paper,sii
1905,Paper,sii
1906,Paper,sii
1907,Paper,sii
1909,Paper,sii
6790,Paper,sii
2002,Steel,sii
2006,Steel,sii
2007,Steel,sii
2008,Steel,sii
2009,Steel,sii
2010,Steel,sii
2012,Steel,sii
2013,Steel,sii
2014,Steel,sii
2015,Steel,sii
2017,Steel,sii
2020,Steel,sii
2022,Steel,sii
2023,Steel,sii
2024,Steel,sii
2025,Steel,sii
2027,Steel,sii
2028,Steel,sii
2029,Steel,sii
2030,Steel,sii
2031,Steel,sii
2032,Steel,sii
2033,Steel,sii
2034,Steel,sii
2038,Steel,sii
2069,Steel,sii
2211,Steel,sii
3004,Steel,sii
5007,Steel,sii
9958,Steel,sii
2101,Rubber,sii
2102,Rubber,sii
2103,Rubber,sii
2104,Rubber,sii
2105,Rubber,sii
2106,Rubber,sii
2107,Rubber,sii
2108,Rubber,sii
2109,Rubber,sii
2114,Rubber,sii
6582,Rubber,sii
1319,Automotive,sii
1339,Automotive,sii
1512,Automotive,sii
1521,Automotive,sii
1522,Automotive,sii
1524,Automotive,sii
1525,Automotive,sii
1533,Automotive,sii
1536,Automotive,sii
1563,Automotive,sii
1568,Automotive,sii
