code,name_en
1101,TCC
1102,ACC
1103,CHC
1104,UCC
1108,LUCKY CEMENT
1109,HsingTa
1110,SE CEMENT
1201,WEI CHUAN
1203,VE WONG
1210,GREATWALL
1213,OCEANIC Bev.
1215,CPE
1216,UNI-PRESIDENT
1217,AGV
1218,TAISUN
1219,FWUSOW
1220,TAIROUN
1225,FOPCO
1227,SFC
1229,LHIHC
1231,Lian Hwa Foods
1232,TTET
1233,Ten Ren
1234,HEY SONG
1235,ST
1236,Hunya
1240,Morn Sun Feed Mill
1256,Sunjuice
1259,An-Shin Food Services
1264,TEHMAG FOODS CORPORATION
1268,Hi-Lai Foods
1294,HTB
1295,SYNBIO
1301,FPC
1303,NPC
1304,USI
1305,CGPC
1307,SAN FANG
1308,APC
1309,TTC
1310,T.S.M.C.
1312,GPPC
1313,UPC
1314,CPDC
1315,TAH HSIN
1316,SUN  YAD
1319,TYG
1321,OPC
1323,YONYU
1324,GLOBE TAPE
1325,UK
1326,FCFC
1336,Taihan Precision Technology
1337,Asia Plastic
1338,Hiroca
1339,Y.C.C.
1340,VICTORY
1341,FULIN-KY
1342,CCI Yilan
1402,FENC
1409,SSFC
1410,NYDF
1413,H.C.
1414,TUNG HO
1416,KFIC
1417,CARNIVAL
1418,TongHwa
1419,SHINKO.TEXTILE
1423,REWARD WOOL
1432,TAROKO
1434,F.T.C
1435,C.F.CORP.
1436,HUA YU LIEN
1437,GTM
1438,SanDi
1439,ASCENT
1440,TAINAN SPINNING
1441,TAH TONG
1442,ADVANCETEK
1443,LILYTEXTILE
1444,LEALEA
1445,UNIVERSAL
1446,HONG HO
1447,LP
1449,CHIA HER
1451,NIEN HSING
1452,HONG YI
1453,TA  JIANG
1454,TTF
1455,ZIG SHENG
1456,I-HWA
1457,YI JINN
1459,LAN FA
1460,EVEREST
1463,CSG
1464,DE LICACY
1465,WISHER
1466,Acelon
1467,TEX-RAY
1468,CHANG HO
1470,EVERTEX
1471,SL
1472,TRIOCEAN
1473,TAINAN
